Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Location,Discount_Applied,Return_Flag,Order_Amount,Payment_Method_Debit Card,Payment_Method_Gift Card,Payment_Method_PayPal,Shipping_Method_Next-Day,Shipping_Method_Standard,Product_Category_Clothing,Product_Category_Electronics,Product_Category_Home,Product_Category_Toys,User_Gender_Male,Return_Prob
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,411.59,3,Changed mind,Returned,387.0,58,City54,45.27,1,1234.77,True,False,False,True,False,True,False,False,False,True,0.548538289286628
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,288.88,3,Wrong item,Returned,31.0,68,City85,47.79,1,866.64,False,False,False,False,False,False,False,False,False,False,0.5139501676869744
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,252.12,1,Defective,Returned,221.0,46,City47,47.61,1,252.12,True,False,False,True,False,False,True,False,False,False,0.5420909034791299
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,382.89,2,Wrong item,Returned,66.0,25,City50,28.49,1,765.78,False,False,False,False,False,True,False,False,False,True,0.5238725196549558
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,306.39,3,Not as described,Returned,539.0,67,City39,38.91,1,919.17,False,False,False,False,False,False,True,False,False,False,0.5194504052871973
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,294.94,3,Not as described,Returned,317.0,44,City82,45.21,1,884.8199999999999,False,False,False,False,True,True,False,False,False,True,0.5377657238760131
ORD00000013,PROD00000013,USER00000013,2023-07-22,,198.78,2,,Not Returned,,51,City85,36.58,0,397.56,False,False,True,True,False,False,True,False,False,True,0.5095782008442528
ORD00000014,PROD00000014,USER00000014,2024-09-01,,146.37,4,,Not Returned,,45,City9,28.23,0,585.48,False,False,True,True,False,False,True,False,False,True,0.5046472693822611
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,370.08,2,Wrong item,Returned,-303.0,24,City27,23.99,1,740.16,False,False,False,False,True,False,True,False,False,False,0.5074609530417946
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,227.94,5,Changed mind,Returned,-66.0,50,City64,43.86,1,1139.7,True,False,False,False,False,False,True,False,False,False,0.5280803520233431
ORD00000020,PROD00000020,USER00000020,2023-07-03,,6.14,1,,Not Returned,,31,City70,47.47,0,6.14,False,False,False,True,False,True,False,False,False,False,0.5451852367807375
